company,rank,rank_change,revenue,profit,num. of employees,sector,city,state,newcomer,ceo_founder,ceo_woman,profitable,prev_rank,CEO,Website,Ticker,Market Cap
Caesars Holdings,363,2,8742,-1195,64000,"Hotels, Restaurants & Leisure",Las Vegas,NV,no,no,no,no,365,Thomas R. Reeg,https://www.caesars.com,,4612.1
Genworth Financial,364,-4,8681,343,3100,Financials,Richmond,VA,no,no,no,yes,360,Thomas J. McInerney,https://www.genworth.com,GNW,1675.8
Targa Resources,365,-63,8671.1,-209.2,2680,Energy,Houston,TX,no,no,no,no,302,Matthew Meloy,https://www.targaresources.com,TRGP,1610.8
Coty,366,-32,8648.5,-3784.2,19000,Household Products,New York,NY,no,no,yes,no,334,Sue Y. Nabi,https://www.coty.com,COTY,3924.4
Dana,367,6,8620,226,36300,Motor Vehicles & Parts,Maumee,OH,no,no,no,yes,373,James K. Kamsickas,https://www.dana.com,DAN,1128.2
Thrivent Financial for Lutherans,368,-17,8611.7,968.1,3235,Financials,Minneapolis,MN,no,no,yes,yes,351,Teresa J. Rasmussen,https://www.thrivent.com,,
Autoliv,369,-48,8547.6,461.5,61957,Motor Vehicles & Parts,Auburn Hills,MI,no,no,no,yes,321,Mikael Bratt,https://www.autoliv.com,ALV,4017.4
SpartanNash,370,7,8536.1,5.7,13800,Wholesalers,Byron Center,MI,no,no,no,yes,377,Tony B. Sarsam,https://www.spartannash.com,SPTN,520.5
Eversource Energy,371,-13,8526.5,909.1,8234,Energy,Springfield,MA,no,no,no,yes,358,James J. Judge,https://www.eversource.com,ES,25835.3
Darden Restaurants,372,4,8510.4,713.4,184514,"Hotels, Restaurants & Leisure",Orlando,FL,no,no,no,yes,376,Eugene I. Lee Jr.,https://www.darden.com,DRI,6580
Chesapeake Energy,373,-64,8489,-308,2300,Energy,Oklahoma City,OK,no,no,no,no,309,Robert D. Lawler,https://www.chk.com,CHKAQ,337.7
NOV,374,-17,8479,-6095,34645,Energy,Houston,TX,no,no,no,no,357,Clay C. Williams,https://www.nov.com,NOV,3793.9
Fidelity National Financial,375,27,8469,1062,23484,Financials,Jacksonville,FL,no,no,no,yes,402,Raymond R. Quirk,https://www.fnf.com,FNF,6854.3
Erie Insurance Group,376,5,8443.3,551,5778,Financials,Erie,PA,no,no,no,yes,381,Timothy G. NeCastro,https://www.erieinsurance.com,,
Oshkosh,377,18,8382,579.4,15400,Industrials,Oshkosh,WI,no,no,no,yes,395,Wilson R. Jones,https://www.oshkoshcorp.com,OSK,6517
Casey&#8217;s General Stores,378,30,8364.9,203.9,26866,Retailing,Ankeny,IA,no,no,no,yes,408,Darren M. Rebelez,https://www.caseys.com,CASY,4874.8
WESCO International,379,-9,8358.9,223.4,9500,Wholesalers,Pittsburgh,PA,no,no,no,yes,370,John J. Engel,https://www.wesco.com,WCC,4294
Tractor Supply,380,8,8351.9,562.4,24000,Retailing,Brentwood,TN,no,no,no,yes,388,Harry A. Lawton III,https://www.tractorsupply.com,TSCO,9809.9
CommScope Holding,381,0,8345.1,-929.5,30000,Technology,Hickory,NC,yes,no,no,no, ,Charles L. Treadway,https://www.commscope.com,COMM,1779
Huntsman,382,-106,8342,562,10000,Chemicals,The Woodlands,TX,no,no,no,yes,276,Peter R. Huntsman,https://www.huntsman.com,HUN,3217.2
American Financial Group,383,44,8237,897,7700,Financials,Cincinnati,OH,no,no,no,yes,427,Carl H. Lindner lll/S. Craig Lindner,https://www.afginc.com,AFG,6331
Masco,384,-18,8235,935,22000,Household Products,Livonia,MI,no,no,no,yes,366,Keith J. Allman,https://www.masco.com,MAS,9118
Sanmina,385,44,8233.9,141.5,38500,Technology,San Jose,CA,no,no,no,yes,429,Jure Sola,https://www.sanmina.com,SANM,1927.2
Amphenol,386,-17,8225.4,1155,74000,Technology,Wallingford,CT,no,no,no,yes,369,R. Adam Norwitt,https://www.amphenol.com,APH,21725.6
Williams,387,-39,8201,850,4812,Energy,Tulsa,OK,no,no,no,yes,348,Alan S. Armstrong,https://www.williams.com,WMB,17165.7
Westinghouse Air Brake,388,0,8200,326.7,27500,Industrials,Pittsburgh,PA,yes,no,no,yes, ,Rafael O. Santana,https://www.wabteccorp.com,WAB,9227.1
Expeditors Intl. of Washington,389,-15,8175.4,590.4,18000,Transportation,Seattle,WA,no,no,no,yes,374,Jeffrey S. Musser,https://www.expeditors.com,EXPD,11208.2
Andersons,390,0,8170.2,18.3,2284,"Food, Beverages & Tobacco",Maumee,OH,yes,no,no,yes, ,Patrick E. Bowe,https://www.andersonsinc.com,ANDE,628.7
Westlake Chemical,391,-39,8118,421,9430,Chemicals,Houston,TX,no,no,no,yes,352,Albert Yuan Chao,https://www.westlake.com,WLK,4900.8
Constellation Brands,392,11,8116,3435.9,9800,"Food, Beverages & Tobacco",Victor,NY,no,no,no,yes,403,William A. Newlands,https://www.cbrands.com,STZ,27601.3
Frontier Communications,393,-38,8107,-5911,18317,Telecommunications,Norwalk,CT,no,no,no,no,355,Nicholas Jeffery,https://www.frontier.com,FTRCQ,39.9
JetBlue Airways,394,5,8094,569,19032,Transportation,Long Island City,NY,no,no,no,yes,399,Robin Hayes,https://www.jetblue.com,JBLU,2525.7
Citizens Financial Group,395,20,8066,1791,17997,Financials,Providence,RI,no,no,no,yes,415,Bruce W. Van Saun,https://www.citizensbank.com,CFG,8040
Raymond James Financial,396,11,8023,1034,14200,Financials,St. Petersburg,FL,no,no,no,yes,407,Paul C. Reilly,https://www.raymondjames.com,RJF,14236
Foot Locker,397,-12,8005,491,33294,Retailing,New York,NY,no,no,no,yes,385,Richard A. Johnson,https://www.footlocker-inc.com,FL,2297.4
Hershey,398,-7,7986.3,1149.7,15330,"Food, Beverages & Tobacco",Hershey,PA,no,no,yes,yes,391,Michele G. Buck,https://www.thehersheycompany.com,HSY,27791.8
Zimmer Biomet Holdings,399,-12,7982.2,1131.6,19900,Health Care,Warsaw,IN,no,no,no,yes,387,Bryan C. Hanson,https://www.zimmerbiomet.com,ZBH,20891.4
Cincinnati Financial,400,0,7924.2,1997.4,5200,Financials,Fairfield,OH,yes,no,no,yes, ,Steven J. Johnston,https://www.cinfin.com,CINF,12241.5
Western & Southern Financial Group,401,20,7920.5,244.9,2787,Financials,Cincinnati,OH,no,no,no,yes,421,John F. Barrett,https://www.westernsouthern.com,,
W.R. Berkley,402,-5,7902.2,681.9,7493,Financials,Greenwich,CT,no,no,no,yes,397,W. Robert Berkley Jr.,https://www.berkley.com,WRB,9569.1
Motorola Solutions,403,13,7887,868,17000,Technology,Chicago,IL,no,no,no,yes,416,Gregory Q. Brown,https://www.motorolasolutions.com,MSI,29314
Thor Industries,404,-37,7864.8,133.3,21750,Motor Vehicles & Parts,Elkhart,IN,no,no,no,yes,367,Robert W. Martin,https://www.thorindustries.com,THO,2328.3
Regeneron Pharmaceuticals,405,45,7863.4,2115.8,8100,Health Care,Tarrytown,NY,no,yes,no,yes,450,Leonard Schleifer,https://www.regeneron.com,REGN,61028
Spirit AeroSystems Holdings,406,14,7863.1,530.1,18200,Aerospace & Defense,Wichita,KS,no,no,no,yes,420,Thomas C. Gentile III,https://www.spiritaero.com,SPR,2506.5
J.M. Smucker,407,7,7838,514.4,7400,"Food, Beverages & Tobacco",Orrville,OH,no,no,no,yes,414,Mark T. Smucker,https://www.jmsmucker.com,SJM,12658.2
PPL,408,-16,7769,1746,12280,Energy,Allentown,PA,no,no,no,yes,392,Vincent Sorgi,https://www.pplweb.com,PPL,18949.6
Insight Enterprises,409,21,7731.2,159.4,11261,Technology,Tempe,AZ,no,no,no,yes,430,Kenneth T. Lamneck,https://www.insight.com,NSIT,2842
Quest Diagnostics,410,-6,7726,858,47000,Health Care,Secaucus,NJ,no,no,no,yes,404,Stephen H. Rusckowski,https://www.questdiagnostics.com,DGX,17164
KeyCorp,411,2,7694,1717,17045,Financials,Cleveland,OH,no,no,no,yes,413,Christopher Gorman,https://www.key.com,KEY,10057.8
Veritiv,412,-65,7659.4,-29.5,8000,Wholesalers,Atlanta,GA,no,no,no,no,347,Salvatore A. Abbate,https://www.veritivcorp.com,VRTV,126.9
DCP Midstream,413,-93,7625,17,2250,Energy,Denver,CO,no,no,no,yes,320,Wouter T. van Kempen,https://www.dcpmidstream.com,DCP,847.9
American Tower,414,-4,7580.3,1887.8,5454,Financials,Boston,MA,no,no,no,yes,410,Thomas A. Bartlett,https://www.americantower.com,AMT,98962
Graybar Electric,415,8,7523.9,144.5,9000,Wholesalers,St. Louis,MO,no,no,yes,yes,423,Kathleen M. Mazzarella,https://www.graybar.com,,-
WEC Energy Group,416,-18,7523.1,1134,7509,Energy,Milwaukee,WI,no,no,no,yes,398,J. Kevin Fletcher,https://www.wecenergygroup.com,WEC,27799.2
NVR,417,7,7428.4,878.5,5700,Engineering & Construction,Reston,VA,no,no,no,yes,424,Paul C. Saville,https://www.nvrinc.com,NVR,15920
Ulta Beauty,418,31,7398.1,705.9,31000,Retailing,Bolingbrook,IL,no,no,yes,yes,449,Mary N. Dillon,https://www.ulta.com,ULTA,9893.6
Devon Energy,419,-122,7372,-355,1800,Energy,Oklahoma City,OK,no,no,no,no,297,David A. Hager,https://www.devonenergy.com,DVN,2645.8
Blackstone Group,420,22,7338.3,2049.7,2905,Financials,New York,NY,no,yes,no,yes,442,Stephen A. Schwarzman,https://www.blackstone.com,BX,30696.4
Dean Foods,421,-28,7328.7,-499.9,14500,"Food, Beverages & Tobacco",Dallas,TX,no,no,no,no,393,Gary W. Rahlfs,https://www.deanfoods.com,DFODQ,9.7
Fortive,422,0,7326.1,738.9,25000,Industrials,Everett,WA,no,no,no,yes,422,James A. Lico,https://www.fortive.com,FTV,23672
UGI,423,-23,7320.4,256.2,12800,Energy,King of Prussia,PA,no,no,no,yes,400,John L. Walsh,https://www.ugicorp.com,UGI,5562
Burlington Stores,424,27,7286.4,465.1,47000,Retailing,Burlington,NJ,no,no,no,yes,451,,https://www.burlingtoninvestors.com,BURL,10441.3
Builders FirstSource,425,-31,7280.4,221.8,15800,Materials,Dallas,TX,no,no,no,yes,394,M. Chad Crow,https://www.bldr.com,BLDR,1420.3
Toll Brothers,426,2,7224,590,5100,Engineering & Construction,Horsham,PA,no,no,no,yes,428,Douglas C. Yearley Jr.,https://www.tollbrothers.com,TOL,6075
Old Republic International,427,54,7213.7,1056.4,9000,Financials,Chicago,IL,no,no,no,yes,481,Craig R. Smiddy,https://www.oldrepublic.com,ORI,4634.9
Asbury Automotive Group,428,11,7210.3,184.4,8500,Retailing,Duluth,GA,no,no,no,yes,439,David W. Hult,https://www.asburyauto.com,ABG,1064.8
Arthur J. Gallagher,429,6,7195,668.8,33247,Financials,Rolling Meadows,IL,no,no,no,yes,435,J. Patrick Gallagher Jr.,https://www.ajg.com,AJG,15454.9
MasTec,430,6,7183.2,392.3,21000,Engineering & Construction,Coral Gables,FL,no,no,no,yes,436,José R. Mas,https://www.mastec.com,MTZ,6040
Owens Corning,431,0,7160,405,19000,Materials,Toledo,OH,no,no,no,yes,431,Brian D. Chambers,https://www.owenscorning.com,OC,4200.9
Magellan Health,432,-15,7159.4,55.9,10100,Health Care,Phoenix,AZ,no,no,no,yes,417,Kenneth J. Fasola,https://www.magellanhealth.com,MGLN,1188.2
Dover,433,-21,7136.4,677.9,24000,Industrials,Downers Grove,IL,no,no,no,yes,412,Richard J. Tobin,https://www.dovercorporation.com,DOV,12094.4
Beacon Roofing Supply,434,30,7105.2,-10.6,8147,Wholesalers,Herndon,VA,no,no,no,no,464,Julian G. Francis,https://www.becn.com,BECN,1138
Avery Dennison,435,-10,7070.1,303.6,30000,Materials,Glendale,CA,no,no,no,yes,425,Mitchell R. Butier,https://www.averydennison.com,AVY,8485.4
Hanesbrands,436,8,6966.9,600.7,63000,Apparel,Winston-Salem,NC,no,no,no,yes,444,Stephen B. Bratspies,https://www.hanes.com,HBI,2816.5
Packaging Corp. of America,437,-5,6964.3,696.4,15500,Materials,Lake Forest,IL,no,no,no,yes,432,Mark W. Kowlzan,https://www.packagingcorp.com,PKG,13321
M&T Bank,438,24,6941.3,1929.1,17386,Financials,Buffalo,NY,no,no,no,yes,462,René F. Jones,https://www.mtb.com,MTB,18440
NCR,439,26,6915,564,36000,Technology,Atlanta,GA,no,no,no,yes,465,Michael D. Hayford,https://www.ncr.com,NCR,2287
Northern Trust,440,13,6895.1,1492.2,19800,Financials,Chicago,IL,no,no,no,yes,453,Michael G. O&#039;Grady,https://www.northerntrust.com,NTRS,19730
Cintas,441,18,6892.3,885,45000,Business Services,Cincinnati,OH,no,no,no,yes,459,Scott D. Farmer,https://www.cintas.com,CTAS,18023.6
Polaris,442,34,6863.4,324,14000,Transportation,Medina,MN,no,no,no,yes,476,Michael T. Speetzen,https://www.polaris.com,PII,7219
CMS Energy,443,-3,6845,680,8459,Energy,Jackson,MI,no,no,yes,yes,440,Patricia K. Poppe,https://www.cmsenergy.com,CMS,16697.2
Seaboard,444,11,6840,283,13100,"Food, Beverages & Tobacco",Merriam,KS,no,no,no,yes,455,Robert L. Steer,https://www.seaboardcorp.com,SEB,3273.8
Intuit,445,37,6784,1557,9400,Technology,Mountain View,CA,no,no,no,yes,482,Sasan K. Goodarzi,https://www.intuit.com,INTU,102329
Regions Financial,446,1,6755,1582,19564,Financials,Birmingham,AL,no,no,no,yes,447,John M. Turner Jr.,https://www.regions.com,RF,8587.8
FM Global,447,0,6743.1,2479.3,5591,Financials,Johnston,RI,yes,no,no,yes, ,Thomas A. Lawson,https://www.fmglobal.com,,
Advanced Micro Devices (AMD),448,12,6731,341,11400,Technology,Santa Clara,CA,no,no,yes,yes,460,Lisa T. Su,https://www.amd.com,AMD,106741
Ovintiv,449,0,6726,234,2571,Energy,Denver,CO,yes,no,no,yes, ,Douglas J. Suttles,https://www.ovintiv.com,OVV,701.5
Booz Allen Hamilton Holding,450,25,6704,418.5,26100,Technology,McLean,VA,no,no,no,yes,475,Horacio D. Rozanski,https://www.boozallen.com,BAH,13101
S&P Global,451,19,6699,2123,22500,Business Services,New York,NY,no,no,no,yes,470,Douglas L. Peterson,https://www.spglobal.com,SPGI,77459
Rockwell Automation,452,0,6694.8,695.8,23000,Industrials,Milwaukee,WI,no,no,no,yes,452,Blake D. Moret,https://www.rockwellautomation.com,ROK,17533.3
O-I Glass,453,-15,6691,-400,27500,Materials,Perrysburg,OH,no,no,no,no,438,Andres A. Lopez,https://www.o-i.com,OI,1108.5
Wynn Resorts,454,-6,6611.1,123,30200,"Hotels, Restaurants & Leisure",Las Vegas,NV,no,no,no,yes,448,Matthew O. Maddox,https://www.wynnresorts.com,WYNN,11874
Securian Financial Group,455,0,6600.6,434.8,6400,Financials,St. Paul,MN,yes,no,no,yes, ,Christopher M. Hilger,https://www.securian.com,,
Alliance Data Systems,456,-66,6580.9,278,8500,Business Services,Columbus,OH,no,no,no,yes,390,Ralph J. Andretta,https://www.alliancedata.com,ADS,1602.7
Weyerhaeuser,457,-51,6554,-76,9400,Materials,Seattle,WA,no,no,no,no,406,Devin W. Stockfish,https://www.weyerhaeuser.com,WY,12636.5
Brighthouse Financial,457,-115,6554,-740,1330,Financials,Charlotte,NC,no,no,no,no,342,Eric T. Steigerwalt,https://www.brighthousefinancial.com,BHF,2540.2
Intercontinental Exchange,459,10,6547,1933,5989,Financials,Atlanta,GA,no,yes,no,yes,469,Jeffrey Sprecher,https://www.intercontinentalexchange.com,ICE,56723
American Axle & Manufacturing,460,-42,6530.9,-484.5,20000,Motor Vehicles & Parts,Detroit,MI,no,no,no,no,418,David C. Dauch,https://www.aam.com,AXL,408.1
Hess,461,0,6510,-408,1775,Energy,New York,NY,no,no,no,no,461,John B. Hess,https://www.hess.com,HES,10163.6
ABM Industries,462,1,6498.6,127.4,140000,Business Services,New York,NY,no,no,no,yes,463,Scott B. Salmirs,https://www.abm.com,ABM,1623.1
Activision Blizzard,463,-58,6489,1503,9200,Media,Santa Monica,CA,no,no,no,yes,405,Robert A. Kotick,https://www.activisionblizzard.com,ATVI,73515
GameStop,464,-118,6466,-470.9,30000,Retailing,Grapevine,TX,no,no,no,no,346,George E. Sherman,https://www.gamestop.com,GME,225.6
APA,465,-54,6411,-3553,3163,Energy,Houston,TX,no,no,no,no,411,John J. Christmann IV,https://apacorp.com/,APA,6595
Science Applications International,466,0,6379,226,24311,Technology,Reston,VA,yes,no,yes,yes, ,Nazzic S. Keene,https://www.saic.com,SAIC,5882
AK Steel Holding,467,-24,6359.4,11.2,9300,Materials,West Chester,OH,no,no,no,yes,443,Lourenco C. Goncalves,https://www.aksteel.com,,
Dillard&#8217;s,468,-10,6343.2,111.1,30400,Retailing,Little Rock,AR,no,no,no,yes,458,William T. Dillard II,https://www.dillards.com,DDS,863.8
Ralph Lauren,469,4,6313,430.9,18650,Apparel,New York,NY,no,no,no,yes,473,Patrice Louvet,https://www.ralphlauren.com,RL,4928.3
Celanese,470,-44,6297,852,7714,Chemicals,Irving,TX,no,no,yes,yes,426,Lori J. Ryerkerk,https://www.celanese.com,CE,8775
R.R. Donnelley & Sons,471,-26,6276.2,-93.2,36400,Media,Chicago,IL,no,no,no,no,445,Daniel L. Knotts,https://www.rrd.com,RRD,68
Zoetis,472,15,6260,1500,10600,Health Care,Parsippany,NJ,no,no,yes,yes,487,Kristin C. Peck,https://www.zoetis.com,ZTS,55895
Ascena Retail Group,473,-16,6242.8,-661.4,33000,Retailing,Mahwah,NJ,no,no,yes,no,457,Carrie W. Teffner,https://www.ascenaretail.com,ASNA,13.9
Clorox,474,3,6214,820,8800,Household Products,Oakland,CA,no,no,yes,yes,477,Linda Rendle,https://www.thecloroxcompany.com,CLX,21673.5
Ingredion,475,11,6209,413,11000,"Food, Beverages & Tobacco",Westchester,IL,no,no,no,yes,486,James P. Zallie,https://www.ingredion.com,INGR,5300
First American Financial,476,15,6202.1,707.4,18412,Financials,Santa Ana,CA,no,no,no,yes,491,Dennis J. Gilmore,https://www.firstam.com,FAF,4790.6
Graphic Packaging Holding,477,3,6160.1,206.8,18000,Materials,Atlanta,GA,no,no,no,yes,480,Michael P. Doss,https://www.graphicpkg.com,GPK,3542
NetApp,478,5,6146,1169,10500,Technology,Sunnyvale,CA,no,no,no,yes,483,George Kurian,https://www.netapp.com,NTAP,9220.9
HD Supply Holdings,478,1,6146,452,11500,Wholesalers,Atlanta,GA,no,no,no,yes,479,Joseph J. DeAngelo,https://www.hdsupply.com,,-
TravelCenters of America,480,-47,6117.4,33.3,18594,Retailing,Westlake,OH,no,no,no,yes,433,Jonathan M. Pertchik,https://www.ta-petro.com,TA,81.2
Olin,481,-47,6110,-11.3,6500,Chemicals,Clayton,MO,no,no,no,no,434,Scott M. Sutton,https://www.olin.com,OLN,1841.8
Robert Half International,482,8,6074.4,454.4,16000,Business Services,Menlo Park,CA,no,no,no,yes,490,M. Keith Waddell,https://www.roberthalf.com,RHI,7602
EnLink Midstream,483,-87,6052.9,-1119.3,1355,Energy,Dallas,TX,no,no,no,no,396,Barry E. Davis,https://www.enlink.com,ENLC,537.3
Avantor,484,0,6040.3,37.8,12000,Technology,Radnor,PA,yes,no,no,yes, ,Michael Stubblefield,https://www.avantorsciences.com,AVTR,7155.6
Tapestry,485,-1,6027.1,643.4,17400,Apparel,New York,NY,no,no,yes,yes,484,Joanne Crevoiserat,https://www.tapestry.com,TPR,3574.6
TD Ameritrade Holding,486,0,6016,2208,9226,Financials,Omaha,NE,yes,no,no,yes, ,Stephen J. Boyle,https://www.amtd.com,,18738.8
Analog Devices,487,-15,5991.1,1363,16400,Technology,Norwood,MA,no,no,no,yes,472,Vincent T. Roche,https://www.analog.com,ADI,33010.9
Ameren,488,-20,5910,828,9323,Energy,St. Louis,MO,no,no,no,yes,468,Warner L. Baxter,https://www.ameren.com,AEE,17969.9
Williams-Sonoma,489,6,5898,356.1,19300,Retailing,San Francisco,CA,no,no,yes,yes,495,Laura J. Alber,https://www.williams-sonomainc.com,WSM,7238
Realogy Holdings,490,-12,5870,-188,10150,Financials,Madison,NJ,no,no,no,no,478,Ryan M. Schneider,https://www.realogy.com,RLGY,346.9
Commercial Metals,491,0,5829,198.1,11524,Materials,Irving,TX,yes,no,yes,yes, ,Barbara R. Smith,https://www.cmc.com,CMC,1880
Rush Enterprises,492,0,5809.8,141.6,7244,Retailing,New Braunfels,TX,yes,no,no,yes, ,W. M. Rush,https://www.rushenterprises.com,RUSHB,1145.6
Franklin Resources,493,-26,5774.5,1195.7,9597,Financials,San Mateo,CA,no,no,yes,yes,467,Jennifer M. Johnson,https://www.franklinresources.com,BEN,8293.2
Fortune Brands Home & Security,494,0,5764.6,431.9,24700,Household Products,Deerfield,IL,yes,no,no,yes, ,Nicholas I. Fink,https://www.fbhs.com,FBHS,12761
Levi Strauss,495,5,5763.1,394.6,15800,Apparel,San Francisco,CA,no,no,no,yes,500,Charles V. Bergh,https://www.levistrauss.com,LEVI,8393
Crown Castle International,496,0,5763,860,5100,Financials,Houston,TX,yes,no,no,yes, ,Jay A. Brown,https://www.crowncastle.com,CCI,60178.6
Simon Property Group,497,-1,5755.2,2101.6,3750,Financials,Indianapolis,IN,no,no,no,yes,496,David E. Simon,https://www.simon.com,SPG,31269
Cerner,498,0,5692.6,529.5,27400,Health Care,North Kansas City,MO,yes,no,no,yes, ,D. Brent Shafer,https://www.cerner.com,CERN,19164.4
Post Holdings,499,-28,5681.1,124.7,10100,"Food, Beverages & Tobacco",St. Louis,MO,no,no,no,yes,471,Robert V. Vitale,https://www.postholdings.com,POST,5732
Huntington Bancshares,500,0,5655,1411,15664,Financials,Columbus,OH,yes,no,no,yes, ,Stephen D. Steinour,https://www.huntington.com,HBAN,8398.6
KBR,501,0,5639,202,28000,Engineering & Construction,Houston,TX,,no,no,yes, ,Stuart Bradie,https://www.kbr.com,KBR,4480
Sprouts Farmers Market,502,0,5634.8,149.6,30000,Food & Drug Stores,Phoenix,AZ,,no,no,yes, ,Jack L. Sinclair,https://www.sprouts.com,SFM,2478
LPL Financial Holdings,503,0,5624.9,559.9,4343,Financials,San Diego,CA,,no,no,yes, ,Dan H. Arnold,https://www.lpl.com,LPLA,4305.4
T. Rowe Price,504,0,5617.9,2131.3,7365,Financials,Baltimore,MD,,no,no,yes, ,William J. Stromberg,https://www.troweprice.com,TROW,36126
Yum Brands,505,0,5597,1294,34000,"Hotels, Restaurants & Leisure",Louisville,KY,,no,no,yes, ,David W. Gibbs,https://www.yum.com,YUM,33006
Chipotle Mexican Grill,506,0,5586.4,350.2,83000,"Hotels, Restaurants & Leisure",Newport Beach,CA,,no,no,yes, ,Brian R. Niccol,https://www.chipotle.com,CMG,41429
Patterson,507,0,5574.5,83.6,7800,Health Care,St. Paul,MN,,no,no,yes, ,Mark S. Walchirk,https://www.pattersoncompanies.com,PDCO,1464.9
RPM International,508,0,5564.6,266.6,14957,Chemicals,Medina,OH,,no,no,yes, ,Frank C. Sullivan,https://www.rpminc.com,RPM,7721.1
Equinix,509,0,5562.1,507.5,8378,Financials,Redwood City,CA,,no,no,yes, ,Charles J. Meyers,https://www.equinix.com,EQIX,64843
Navient,510,0,5529,597,5800,Financials,Wilmington,DE,,no,no,yes, ,John F. Remondi,https://www.navient.com,NAVI,1465.5
Chemours,511,0,5526,-52,7000,Chemicals,Wilmington,DE,,no,no,no, ,Mark P. Vergnano,https://www.chemours.com,CC,1455.9
ON Semiconductor,512,0,5517.9,211.7,34800,Technology,Phoenix,AZ,,no,no,yes, ,Hassane El-Khoury,https://www.onsemi.com,ON,5113.7
TransDigm Group,513,0,5517.2,889.8,18300,Aerospace & Defense,Cleveland,OH,,no,no,yes, ,Kevin M. Stein,https://www.transdigm.com,TDG,17190.3
Host Hotels & Resorts,514,0,5469,920,175,Financials,Bethesda,MD,,no,no,yes, ,James F. Risoleo,https://www.hosthotels.com,HST,7792.9
Select Medical Holdings,515,0,5453.9,148.4,42800,Health Care,Mechanicsburg,PA,,no,no,yes, ,David S. Chernow,https://www.selectmedicalholdings.com,SEM,2014.7
Par Pacific Holdings,516,0,5401.5,40.8,1408,Energy,Houston,TX,,no,no,yes, ,William C. Pate,https://www.parpacific.com,PARR,380.6
Sonoco Products,517,0,5374.2,291.8,23000,Materials,Hartsville,SC,,no,no,yes, ,R. Howard Coker,https://www.sonoco.com,SON,6187
Roper Technologies,518,0,5366.8,1767.9,16460,Technology,Sarasota,FL,,no,no,yes, ,L. Neil Hunn,https://www.ropertech.com,ROP,33086.1
Harley-Davidson,519,0,5361.8,423.6,5600,Transportation,Milwaukee,WI,,no,no,yes, ,Jochen Zeitz,https://www.harley-davidson.com,HOG,2892.7
Jefferies Financial Group,520,0,5358.7,964.7,4800,Financials,New York,NY,,no,no,yes, ,Richard B. Handler,https://www.jefferies.com,JEF,3788.1
Kelly Services,521,0,5355.6,112.4,7700,Business Services,Troy,MI,,no,no,yes, ,Peter W. Quigley,https://www.kellyservices.com,KELYA,496.4
Microchip Technology,522,0,5349.5,355.9,18286,Technology,Chandler,AZ,,no,no,yes, ,Ganesh Moorthy,https://www.microchip.com,MCHP,25937
McCormick,523,0,5347.4,702.7,12400,"Food, Beverages & Tobacco",Hunt Valley,MD,,no,no,yes, ,Lawrence E. Kurzius,https://www.mccormickcorporation.com,MKC,18767.4
MDU Resources Group,524,0,5336.9,335.5,13359,Energy,Bismarck,ND,,no,no,yes, ,David L. Goodin,https://www.mdu.com,MDU,4310.2
Fastenal,525,0,5333.7,790.9,21948,Wholesalers,Winona,MN,,no,no,yes, ,Daniel L. Florness,https://www.fastenal.com,FAST,27962
Big Lots,526,0,5323.2,242.5,22250,Retailing,Columbus,OH,,no,no,yes, ,Bruce K. Thorn,https://www.biglots.com,BIG,557
Penn National Gaming,527,0,5301.4,43.9,28300,"Hotels, Restaurants & Leisure",Wyomissing,PA,,no,no,yes, ,Jay A. Snowden,https://www.pngaming.com,PENN,1478.3
Western Union,528,0,5292.1,1058.3,11500,Business Services,Denver,CO,,no,no,yes, ,Hikmet Ersek,https://www.westernunion.com,WU,7489.9
Under Armour,529,0,5267.1,92.1,11700,Apparel,Baltimore,MD,,no,no,yes, ,Patrik Frisk,https://www.uabiz.com,UAA,3878.1
Xylem,530,0,5249,401,16300,Industrials,Rye Brook,NY,,no,no,yes, ,Patrick K. Decker,https://www.xylem.com,XYL,11737.9
Skechers U.S.A.,531,0,5242.5,346.6,8550,Apparel,Manhattan Beach,CA,,yes,no,yes, ,Robert Greenberg,https://www.skx.com,SKX,3724.9
Domtar,532,0,5220,84,10000,Materials,Fort Mill,SC,,no,no,yes, ,John D. Williams,https://www.domtar.com,UFS,1217.8
NiSource,533,0,5208.9,383.1,8363,Energy,Merrillville,IN,,no,no,yes, ,Joseph J. Hamrock,https://www.nisource.com,NI,9545.1
Marathon Oil,534,0,5190,480,2000,Energy,Houston,TX,,no,no,yes, ,Lee M. Tillman,https://www.marathonoil.com,MRO,2618.3
National General Holdings,535,0,5179.6,348.1,9200,Financials,New York,NY,,no,no,yes, ,Barry Karfunkel,https://www.nationalgeneral.com,,1881.9
Telephone & Data Systems,536,0,5176,121,9400,Telecommunications,Chicago,IL,,no,no,yes, ,LeRoy T. Carlson Jr.,https://www.tdsinc.com,TDS,1923.7
Agilent Technologies,537,0,5163,1071,16300,Technology,Santa Clara,CA,,no,no,yes, ,Michael R. McMullen,https://www.agilent.com,A,22177.2
Ametek,538,0,5158.6,861.3,18100,Technology,Berwyn,PA,,no,no,yes, ,David A. Zapico,https://www.ametek.com,AME,16506.3
Evergy,539,0,5147.8,669.9,4617,Energy,Kansas City,MO,,no,no,yes, ,David A. Campbell,https://www.evergyinc.com,EVRG,12477.6
International Flavors & Fragrances,540,0,5140.1,455.9,13668,Chemicals,New York,NY,,no,no,yes, ,Andreas Fibig,https://www.iff.com,IFF,10902.4
